income_year,car_limit,source
2026-27,69883,ATO Car thresholds from 1 July (QC107449; 9 June 2026)
2025-26,69674,ATO Tradies car limit list (27 May 2026)
2024-25,69674,ATO Tradies car limit list (27 May 2026)
2023-24,68108,ATO Tradies car limit list (27 May 2026)
2022-23,64741,ATO Tradies car limit list (27 May 2026)
2021-22,60733,ATO Tradies car limit list (27 May 2026)
2020-21,59136,ATO Backing business investment page (27 June 2025)
2019-20,57581,ATO Backing business investment page (27 June 2025)
