function,module,previous_name,signature,description
oz.PriceEarningsRatioλ,Ratios,nabla.r.PriceEarningsRatioλ,"PriceEarningsRatioλ( SharePrice, EarningsPerShare)",Price-earnings Ratio measures a company's share price relative to its earnings per share (Share Price/Earnings Per Share).
oz.PriceToBookRatioλ,Ratios,nabla.r.PriceToBookRatioλ,"PriceToBookRatioλ( MarketPricePerShare, BookValuePerShare)",Many investors use the price-to-book ratio (P/B ratio) to compare a firm's market capitalisation to its book value and locate undervalued companies.
oz.PriceToCashRatioλ,Ratios,nabla.r.PriceToCashRatioλ,"PriceToCashRatioλ( MarketPricePerShare, OperatingCashFlowPerShare)",Price to Cash (P/CF) Ratio is a stock valuation indicator or multiple that measures the value of a stock’s price relative to its operating cash flow per share (Market Price Per Share/Operating Cash Flow Per Share).
oz.PriceToSalesRatioλ,Ratios,nabla.r.PriceToSalesRatioλ,"PriceToSalesRatioλ( MarketPricePerShare, SalesPerShare)",Price to Sales (P/S) Ratio is an indicator of the value that financial markets have placed on each dollar of a company's sales or revenues (Market Price Per Share/Sales Per Share).
oz.PrimeCostλ,Financial,nabla.f.PrimeCostλ,"PrimeCostλ(Cost, Life)","Straight-line depreciation schedule for one asset or asset class, in whole years. A modelling schedule, not a tax calculation."
oz.QuickRatioλ,Ratios,nabla.r.QuickRatioλ,"QuickRatioλ( QuickAssets, Liabilities)",Measures ability to meet short-term obligations (Quick Assets/Current Liabilities)
oz.ROAλ,Ratios,nabla.r.ROAλ,"ROAλ( NetIncome, TotalAssets)",Return on assets (ROA) ratio indicates how profitable a company is in relation to its total assets ( Net Income / Total Assets)
oz.ROEλ,Ratios,nabla.r.ROEλ,"ROEλ( NetIncome, ShareholdersEquity, [OpeningEquity])",Return on equity (ROE) ratio is a measure of financial performance (Net Income/Average Shareholders' Equity)
oz.ROICλ,Ratios,nabla.r.ROICλ,"ROICλ( NetOperatingProfitAfterTax, InvestedCapital)",Return on Invested capital assesses a company’s efficiency in allocating capital to profitable investments (Net Operating Profit After Tax/Invested Capital)
oz.ROIλ,Ratios,nabla.r.ROIλ,"ROIλ( NetReturnonInvestment, CostofInvestment)",Return on Investment (ROI) ratio measures the profitability of an investment by comparing the gain or loss to its cost (Net Return on Investment/Cost of Investment).
oz.ROUScheduleλ,Financial,,"ROUScheduleλ(Cost, Periods)","Straight-line right-of-use asset schedule: opening, depreciation and closing for each period"
oz.RangeToDAEλ,Essentials,nabla.e.RangeToDAλ,"RangeToDAEλ(Range, [Rows], [Columns])",Convert a range reference to a dynamic array reference
oz.RangeToDAUλ,Utilities,nabla.u.RangeToDAλ,"RangeToDAUλ(Range, [Rows], [Columns])",Convert a range reference to a dynamic array reference
oz.RangeToDAλ,Financial,nabla.f.RangeToDAλ,"RangeToDAλ( Cell, [Rows], [Columns])",Create a dynamic array from a static range
oz.ReceivablesTurnoverRatioλ,Ratios,nabla.r.ReceivablesTurnoverRatioλ,"ReceivablesTurnoverRatioλ( NetCreditSales, AverageAccountsReceivable)",Indicates effectiveness in collecting outstanding balances from clients and managing line of credit process (Net Credit Sales/Average Accounts Receivable)
oz.RetentionRatioλ,Ratios,nabla.r.RetentionRatioλ,"RetentionRatioλ( RetainedEarnings, NetIncome )",Retention Ratio is the proportion of earnings kept back in the business as retained earnings (Retained Earnings/Net Income).
oz.Reversalλ,Financial,nabla.f.Reversalλ,"Reversalλ( [OpeningValue], RowToReverse)",Create a row that reverses input values in the next period.
oz.RollingAvgλ,Financial,nabla.f.RollingAvgλ,"RollingAvgλ( Values, Size)",Creates Averages for preceding values of a set size moving from beginning to end over a row of values.
oz.RollingMaxλ,Financial,nabla.f.RollingMaxλ,"RollingMaxλ( Values, Size)",Creates the maximum for preceding values of a set size moving from beginning to end over a row of values.
oz.RollingMinλ,Financial,nabla.f.RollingMinλ,"RollingMinλ( Values, Size)",Creates the Minimum for preceding values of a set size moving from beginning to end over a row of values.
oz.RollingSumλ,Financial,nabla.f.RollingSumλ,"RollingSumλ( Values, Size)",Creates totals for preceding values of a set size moving from beginning to end over a row of values.
oz.SLNλ,Financial,nabla.f.SLNλ,"SLNλ(Cost, Salvage, Life)",Straight Line depreciation method for one asset or asset class.
oz.SYDλ,Financial,nabla.f.SYDλ,"SYDλ(Cost, Salvage, Life)",Sum-of-years' digits depreciation method for one asset or asset class.
oz.ScheduleRatesByItemsλ,Dates,nabla.d.ScheduleRatesByItemsλ,"ScheduleRatesByItemsλ(PeriodEnds, ItemFilter, ItemList, EffectiveList, RateList)",Schedule rates that persist until replaced in a timeline for each item in a list.
oz.ScheduleRatesλ,Dates,nabla.d.ScheduleRatesλ,"ScheduleRatesλ(PeriodEnds, RateStarts, Rates)",Schedule rates that persist until replaced in a timeline.
oz.ScheduleValuesByItemsλ,Dates,nabla.d.ScheduleValuesByItemsλ,"ScheduleValuesByItemsλ(PeriodStarts, PeriodEnds, ItemFilter, ItemList, EffectiveList, ValueList)",Schedule and sum values in a timeline for each item.
oz.ScheduleValuesλ,Dates,nabla.d.ScheduleValuesλ,"ScheduleValuesλ(PeriodStarts, PeriodEnds, Values, EffectiveDates)",Schedules values in a timeline from a schedule in a table.
oz.SumAmortiseλ,Financial,nabla.f.SumAmortiseλ,SumAmortiseλ(AmortisationSchedule),Create row totals for Amortiseλ
oz.SumColsUλ,Utilities,nabla.u.SumColsλ,SumColsUλ( Array),Get the total for each Column
oz.SumColsλ,Essentials,nabla.e.SumColsλ,SumColsλ( Array),Get the total for each Column
oz.SumContainsλ,Financial,nabla.f.SumContainsλ,"SumContainsλ(ValuesToFilter, ValueLabels, FilterByText, [IgnoreCase?])","Creates a row of totals for each row in an array where its labels contain a letter, word, or phrase"
oz.SumDepreciateλ,Financial,nabla.f.SumDepreciateλ,SumDepreciateλ(DepreciationSchedule),Create row totals for Depreciateλ
oz.SumPeriodsλ,Financial,nabla.f.SumPeriodsλ,"SumPeriodsλ( Values, Dates, PeriodStarts)",Groups and totals all columns in a Values array by period resulting in one column for each period
oz.SumRowsUλ,Utilities,nabla.u.SumRowsλ,SumRowsUλ( Array),Get the total for each row
oz.SumRowsλ,Essentials,nabla.e.SumRowsλ,SumRowsλ( Array),Get the total for each row
oz.TimelineOffsetλ,Financial,nabla.f.TimelineOffsetλ,"TimelineOffsetλ(Date, Timeline)",Determines how many periods one array is offset from the timeline
oz.TimelinePositionλ,Financial,nabla.f.TimelinePositionλ,"TimelinePositionλ(Array, Timeline, Offset)",Crops an array based on a model's timeline
oz.Timelineλ,Dates,nabla.d.Timelineλ,"Timelineλ(StartDate, Periods, Interval, PeriodStarts?)",Create a horizontal list of period dates
oz.VDBλ,Financial,nabla.f.VDBλ,"VDBλ(Cost, Salvage, Life, [Factor], [No_Switch])",Variable declining balance depreciation method for one asset or asset class.
oz.WorkingCapitalTurnoverRatioλ,Ratios,nabla.r.WorkingCapitalTurnoverRatioλ,"WorkingCapitalTurnoverRatioλ( NetAnnualSales, WorkingCapital)",Working Capital Turnover Ratio measures how efficiently a company is using its working capital to support sales and growth (Net Annual Sales/Average Working Capital).
